                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2993,                 3.9975,                 2.2454,                0.00333,                      1,                0.50955,                0.20073,                 1.3914,                 4.1016,                 1.6805,                0.00016,                0.00016,                0.00016
                      2,                 1.6308,                  3.065,                 1.6308,                0.00333,                      1,                0.91059,                0.41972,                 1.3666,                 3.5713,                 1.6698,             0.00033663,             0.00033663,             0.00033663
                      3,                 1.5363,                 2.7322,                 1.4754,                0.00333,                      1,                0.53215,                 0.2729,                 1.4253,                 3.5538,                 1.4152,              0.0005097,              0.0005097,              0.0005097
                      4,                 1.5025,                 2.4827,                 1.4245,                0.00333,                      1,                0.56961,                0.28085,                 1.6191,                 3.5123,                 1.6275,             0.00067921,             0.00067921,             0.00067921
                      5,                 1.4702,                 2.1485,                 1.3705,                0.00333,                      1,                0.20235,                0.07649,                 1.9224,                 4.2892,                 2.8479,             0.00084515,             0.00084515,             0.00084515
                      6,                 1.4786,                 2.1397,                 1.3609,                0.64281,                0.38462,                0.55985,                0.18052,                 2.1664,                 4.0431,                  2.293,              0.0010075,              0.0010075,              0.0010075
                      7,                 1.4047,                 2.1947,                 1.3923,                0.39996,                0.38462,                0.29831,                0.12648,                 2.1075,                 3.7233,                 2.1873,              0.0011663,              0.0011663,              0.0011663
                      8,                 1.4784,                 2.2206,                 1.3674,                0.03443,                0.15385,                0.02176,                0.01066,                 2.8452,                 5.7501,                 2.9833,              0.0013216,              0.0013216,              0.0013216
                      9,                 1.5023,                 2.1382,                 1.4121,                0.16661,                0.30769,                 0.1123,                0.03334,                  2.595,                 4.8999,                 2.7109,              0.0014733,              0.0014733,              0.0014733
                     10,                 1.4486,                 1.9069,                 1.3452,                0.36088,                0.30769,                0.25626,                0.10805,                 2.2375,                 3.8195,                 2.1712,              0.0016214,              0.0016214,              0.0016214
                     11,                 1.4207,                 1.8455,                 1.3526,                0.33945,                0.69231,                0.35413,                  0.098,                 2.1438,                 3.1093,                 2.0402,               0.001766,               0.001766,               0.001766
                     12,                 1.4596,                 1.8836,                 1.3549,                0.28589,                0.23077,                0.23626,                0.09119,                 2.0623,                 3.4667,                 1.7581,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.4837,                  1.771,                  1.327,                0.44528,                0.53846,                0.52183,                0.28184,                 1.8599,                 2.9922,                 1.6187,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4785,                 1.8535,                 1.3606,                0.71853,                0.59073,                0.61655,                0.28669,                 1.5765,                 2.3742,                 1.4882,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.4544,                 1.8251,                 1.3609,                0.82082,                 0.7057,                0.77554,                0.39212,                 1.5909,                 2.0972,                 1.3689,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.3838,                 1.7057,                 1.3295,                0.73574,                0.61538,                0.62788,                0.31698,                 1.5784,                 2.1212,                 1.4469,               0.001703,               0.001703,               0.001703
                     17,                  1.493,                 1.6736,                 1.3469,                0.79054,                0.38462,                0.55178,                0.23104,                   1.64,                 2.7406,                 1.5614,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.5147,                 1.6825,                  1.373,                0.61851,                0.74925,                0.69858,                0.27415,                 1.7238,                 2.2459,                 1.4497,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.4157,                 1.5653,                 1.3011,                0.55626,                0.53846,                 0.5676,                0.27188,                 1.5591,                 2.5422,                 1.3399,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.4358,                 1.5229,                  1.311,                 0.6485,                0.61538,                0.67322,                0.24852,                 1.5797,                 2.7758,                 1.3179,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.4382,                 1.4799,                 1.3141,                0.98648,                0.69231,                0.88925,                0.45032,                 1.4475,                 2.2383,                 1.3241,               0.001604,               0.001604,               0.001604
                     22,                 1.4196,                 1.5232,                 1.3182,                 0.9141,                0.82008,                0.90499,                0.45446,                 1.4164,                 2.5271,                 1.3482,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.3768,                 1.4895,                 1.2879,                0.86959,                0.51516,                0.61114,                0.28731,                 1.5165,                 4.0744,                 1.3812,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.3432,                 1.4801,                 1.2807,                0.74368,                0.61538,                0.61374,                0.31912,                 1.4706,                 3.7075,                 1.3975,              0.0015446,              0.0015446,              0.0015446
                     25,                  1.339,                 1.4611,                 1.2507,                      1,                0.69062,                0.88911,                 0.4076,                 1.8828,                 2.3359,                 1.6123,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.3591,                 1.3238,                 1.2761,                0.86556,                0.69231,                0.76067,                0.46857,                 1.5129,                 1.7051,                  1.416,               0.001505,               0.001505,               0.001505
                     27,                 1.3348,                 1.2756,                 1.2526,                      1,                0.61211,                0.75221,                0.43096,                 1.3821,                 1.8531,                 1.3273,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.3232,                 1.2899,                 1.2683,                0.91541,                0.83344,                0.86019,                0.51059,                 1.4867,                 1.4789,                 1.3799,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.2798,                 1.1735,                 1.2281,                0.94005,                0.84615,                   0.92,                0.54014,                 1.4143,                 1.3789,                 1.3633,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.3015,                 1.2324,                 1.2288,                0.78182,                0.76923,                0.76886,                0.49881,                 1.4452,                 1.7462,                 1.4929,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.3428,                  1.164,                 1.2159,                 0.7801,                0.76923,                0.77531,                0.47684,                 1.4416,                   1.58,                 1.4543,               0.001406,               0.001406,               0.001406
                     32,                 1.2686,                 1.1784,                 1.1728,                0.98517,                0.92308,                0.93571,                0.51766,                  1.459,                  1.505,                 1.3831,              0.0013862,              0.0013862,              0.0013862
                     33,                  1.264,                  1.201,                  1.208,                0.98988,                0.76923,                 0.8774,                0.49307,                 1.4684,                 1.4272,                 1.3242,              0.0013664,              0.0013664,              0.0013664
                     34,                  1.186,                 1.1236,                 1.1796,                0.98631,                0.76923,                0.89229,                0.44376,                  1.379,                  1.367,                 1.2782,              0.0013466,              0.0013466,              0.0013466
                     35,                  1.339,                 1.1987,                 1.2223,                0.98358,                0.84615,                0.93509,                0.60823,                 1.1588,                 1.1285,                 1.1296,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2054,                 1.1374,                 1.2114,                0.91451,                0.84615,                0.93193,                0.45934,                 1.4923,                 1.4622,                  1.292,               0.001307,               0.001307,               0.001307
