                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0581,                 6.5225,                 2.8576,                 1.5227,                0.00333,                      1,                0.65411,                0.49181,                0.00333,                      1,                0.65817,                0.21134,                0.54146,                   5.18,                 3.1904,                 1.0599,                0.00016,                0.00016,                0.00016
                      2,                0.77608,                 4.5602,                 2.0398,                 1.2243,                0.00333,                      1,                0.86014,                 0.7725,                0.00333,                      1,                0.86014,                0.35981,                0.48666,                 5.1338,                 2.7969,                 1.0021,             0.00033663,             0.00033663,             0.00033663
                      3,                0.70412,                   2.73,                 1.5075,                 1.1333,                0.00306,                0.91667,                0.46582,                0.32294,                0.00222,                0.66667,                0.00621,                0.00105,                 1.4077,                 5.1886,                 3.4272,                 1.7984,              0.0005097,              0.0005097,              0.0005097
                      4,                0.66372,                 1.7739,                 1.1558,                  1.098,                0.00306,                0.91667,                0.47158,                0.15147,                0.00306,                0.91667,                0.00472,                0.00115,                  1.675,                 5.1822,                 3.6953,                 1.9633,             0.00067921,             0.00067921,             0.00067921
                      5,                0.71298,                 1.5618,                 1.1598,                  1.104,                0.83367,                0.41786,                0.83443,                0.53835,                0.83367,                0.41786,                0.83443,                0.62685,                0.92645,                 3.7685,                 3.0065,                 1.4896,             0.00084515,             0.00084515,             0.00084515
                      6,                0.65899,                 1.3766,                 1.0403,                 1.0939,                0.70094,                0.78275,                0.89391,                0.71522,                0.70094,                0.78275,                0.89391,                0.74373,                0.75063,                 1.6935,                 2.5244,                 1.2179,              0.0010075,              0.0010075,              0.0010075
                      7,                0.63684,                 1.2703,                  1.015,                 1.0667,                0.94555,                0.83333,                0.89202,                0.66942,                0.94555,                0.83333,                0.89278,                0.72056,                0.75082,                 1.6973,                 2.5814,                 1.3333,              0.0011663,              0.0011663,              0.0011663
                      8,                0.66899,                 1.2501,                0.99185,                 1.0931,                0.52347,                0.64202,                0.66573,                0.44901,                0.55815,                0.73757,                 0.6817,                0.45162,                 1.0231,                 1.8766,                 2.7608,                 1.4482,              0.0013216,              0.0013216,              0.0013216
                      9,                0.68186,                 1.2397,                 1.0475,                 1.0893,                0.41553,                0.71196,                0.47145,                0.25465,                0.36682,                0.62863,                0.45385,                0.23491,                 1.3786,                 2.2697,                 2.8982,                 2.0194,              0.0014733,              0.0014733,              0.0014733
                     10,                0.66117,                 1.2125,                0.97152,                 1.0592,                0.91182,                   0.25,                0.47062,                0.17456,                0.55789,                0.41667,                0.55881,                  0.231,                 1.6186,                 1.3356,                 3.2333,                 2.1959,              0.0016214,              0.0016214,              0.0016214
                     11,                0.63363,                 1.1216,                 0.9104,                 1.0726,                0.53561,                    0.5,                0.41839,                0.14607,                0.78925,                   0.75,                0.71238,                 0.2486,                  1.677,                 1.7101,                  3.741,                 2.1094,               0.001766,               0.001766,               0.001766
                     12,                0.59449,                 1.0374,                0.83835,                 1.0239,                0.69184,                0.74849,                 0.6904,                0.37784,                0.69184,                0.74849,                0.71164,                0.52637,                 1.5617,                 1.1968,                 2.2017,                 2.1578,              0.0017822,              0.0017822,              0.0017822
                     13,                0.66246,                 1.1803,                0.88256,                 1.0668,                0.80213,                0.41667,                0.47844,                0.17598,                0.81777,                    0.5,                0.54913,                0.33594,                 2.3123,                 6.0842,                 3.0151,                 3.6507,              0.0017624,              0.0017624,              0.0017624
                     14,                0.63187,                  1.137,                0.84046,                 1.0753,                0.89956,                0.74672,                0.77875,                0.38862,                0.89956,                0.74672,                0.77875,                0.49126,                 1.7295,                 1.6918,                 2.5009,                 2.6099,              0.0017426,              0.0017426,              0.0017426
                     15,                0.60812,                0.93057,                0.75231,                 1.0591,                0.84469,                0.90714,                0.89588,                0.62209,                0.84469,                0.90714,                0.86805,                0.65859,                 1.2646,                 1.2483,                 1.8353,                 1.7277,              0.0017228,              0.0017228,              0.0017228
                     16,                0.56595,                0.90609,                0.63796,                 1.0191,                0.90542,                0.91667,                0.96167,                0.75438,                0.90542,                0.91667,                0.96167,                 0.7277,                0.87291,                 1.6892,                  1.381,                 1.4617,               0.001703,               0.001703,               0.001703
